thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,down,1,2.926541799912229,None,-3,0,0,0,0,0.027406799839809537,,0.015033100033178926,0.027406799839809537,1.0140370998997241,1.023726399987936,3.9707674998790026,down,1,2.926541799912229,None,-3,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
1,0,1,up,0,1.7489621001295745,None,-5,1,0,1,0,3.984191299881786,,3.9712218998465687,3.984191299881786,4.9732542999554425,4.9900833000428975,6.722981299972162,up,0,1.7489621001295745,None,-5,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
2,0,2,down,1,0.7563136001117527,None,4,2,0,2,0,6.737949299858883,,6.72342689987272,6.737949299858883,7.722625599941239,7.7392835998907685,8.489915600046515,down,1,0.7563136001117527,None,4,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
3,0,3,down,1,2.6391491000540555,None,-3,3,0,3,0,8.505386000033468,,8.490365699864924,8.505386000033468,9.503467599861324,9.520322500029579,12.156778699951246,down,1,2.6391491000540555,None,-3,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
4,0,4,down,0,1.9021338000893593,None,0,4,0,4,0,12.171404399909079,,12.157284799963236,12.171404399909079,13.15631420002319,13.176611699862406,15.07081069983542,down,0,1.9021338000893593,None,0,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
5,0,5,down,1,1.7159148000646383,None,-5,5,0,5,0,15.086542299948633,,15.07121349987574,15.086542299948633,16.086367799900472,16.086367799900472,17.80378849990666,down,1,1.7159148000646383,None,-5,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
6,0,6,down,0,1.8394449998158962,None,0,6,0,6,0,17.819799799937755,,17.80415329989046,17.819799799937755,18.80372259998694,18.820625100051984,20.656466499902308,down,0,1.8394449998158962,None,0,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
7,0,7,down,0,2.417924700072035,None,0,7,0,7,0,20.675674999831244,,20.656875499989837,20.675674999831244,21.655733400024474,21.68906100001186,24.08963409997523,down,0,2.417924700072035,None,0,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
8,0,8,up,0,1.6267523998394608,None,1,8,0,8,0,24.105999999912456,,24.090084800031036,24.105999999912456,25.105242099845782,25.105242099845782,26.7387613998726,up,0,1.6267523998394608,None,1,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
9,0,9,up,0,1.507559600053355,None,-5,9,0,9,0,26.75462849996984,,26.739227700047195,26.75462849996984,27.74361340003088,27.75482809985988,29.25314509985037,up,0,1.507559600053355,None,-5,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
10,0,10,up,0,1.1116283000446856,None,-4,10,0,10,0,29.26886079995893,,29.253604599973187,29.26886079995893,30.25235169986263,30.268993200035766,31.369505899958313,up,0,1.1116283000446856,None,-4,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
11,0,11,down,0,1.2910070000216365,None,0,11,0,11,0,31.385699699865654,,31.36985719995573,31.385699699865654,32.36981129995547,32.385762699879706,33.66975769982673,down,0,1.2910070000216365,None,0,204788,001,2025-09-09_11h28.12.488,orientation disc,,2025.1.1,62.33399685850518,2025-09-09 11h28.19.813028 +0530,
12,0,12,,,,,,12,0,12,0,33.68553589982912,,33.67012529983185,33.68553589982912,34.66917559993453,34.685603599995375,,,,,,,,,,,,,,,
